City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Juan,AR,77.13,clear sky,-31.5375,-68.5364,Hotel Provincial
1,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
5,Chotila,IN,83.39,clear sky,22.4167,71.1833,Hotel Honest
6,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
10,Vicuna,CL,82.78,clear sky,-30.0319,-70.7081,Los Mosaicos
13,Sao Filipe,CV,72.0,few clouds,14.8961,-24.4956,Hotel Xaguate
19,Burriana,ES,70.95,clear sky,39.889,-0.085,Hotel Beatriz
20,Phan Thiet,VN,77.65,few clouds,10.9333,108.1,Hotel Saigon-PT
21,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
22,Huarmey,PE,73.06,broken clouds,-10.0681,-78.1522,Hotel Miramar
24,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Sambava,MG,77.04,clear sky,-14.2667,50.1667,Melrose
30,Banda Aceh,ID,80.76,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
32,Vao,NC,76.37,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
33,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
35,Owo,NG,83.21,scattered clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
37,Kavieng,PG,81.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
39,Phonhong,LA,77.18,light rain,18.5007,102.4166,Manyvong Guest House
40,Arlit,NE,82.65,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
42,Daru,PG,79.11,broken clouds,-9.0763,143.2092,Daru Lodge
44,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Atuona,PF,79.2,light rain,-9.8,-139.0333,Villa Enata
46,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
49,Makakilo City,US,75.52,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
57,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Rikitea,PF,77.99,clear sky,-23.1203,-134.9692,People ThankYou
62,Caravelas,BR,77.63,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
66,Sompeta,IN,80.6,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
75,Touros,BR,84.78,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
79,Port Blair,IN,83.57,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
80,Ocampo,MX,81.77,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
