City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Juan,AR,-31.5375,-68.5364,77.13,28,1,12.48,clear sky
1,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,69,75,16.11,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,48.31,66,40,5.75,scattered clouds
3,Nuuk,GL,64.1835,-51.7216,27.21,63,20,10.36,few clouds
4,Mataura,NZ,-46.1927,168.8643,39.47,98,62,2.91,broken clouds
5,Chotila,IN,22.4167,71.1833,83.39,38,0,14.25,clear sky
6,Vaini,TO,-21.2,-175.2,77.16,88,75,4.61,broken clouds
7,Edd,ER,13.9297,41.6925,82.58,77,86,4.63,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,44.26,61,40,10.36,scattered clouds
9,Avarua,CK,-21.2078,-159.775,82.45,74,75,2.3,broken clouds
10,Vicuna,CL,-30.0319,-70.7081,82.78,25,0,7.96,clear sky
11,Hofn,IS,64.2539,-15.2082,45.84,99,100,14.43,light rain
12,Cape Town,ZA,-33.9258,18.4232,63.12,63,0,11.01,clear sky
13,Sao Filipe,CV,14.8961,-24.4956,72.0,77,20,13.13,few clouds
14,Yumen,CN,40.2833,97.2,40.55,22,0,12.5,clear sky
15,East London,ZA,-33.0153,27.9116,62.31,74,100,7.96,overcast clouds
16,Senanga,ZM,-16.1167,23.2667,67.96,92,94,2.62,light rain
17,Tasiilaq,GL,65.6145,-37.6368,37.56,97,100,17.13,moderate rain
18,Kjollefjord,NO,70.9457,27.3465,39.25,93,100,31.59,overcast clouds
19,Burriana,ES,39.889,-0.085,70.95,58,0,2.8,clear sky
20,Phan Thiet,VN,10.9333,108.1,77.65,86,17,4.68,few clouds
21,Pisco,PE,-13.7,-76.2167,71.65,64,0,21.85,clear sky
22,Huarmey,PE,-10.0681,-78.1522,73.06,70,53,12.59,broken clouds
23,Narsaq,GL,60.9167,-46.05,41.22,68,2,5.46,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,98,8.86,overcast clouds
25,Sambava,MG,-14.2667,50.1667,77.04,85,0,13.02,clear sky
26,Upernavik,GL,72.7868,-56.1549,-4.76,88,30,15.05,scattered clouds
27,Andenes,NO,69.3143,16.1194,40.98,93,100,11.5,overcast clouds
28,Hobart,AU,-42.8794,147.3294,56.26,89,100,1.99,overcast clouds
29,Rey Bouba,CM,8.6724,14.1786,94.46,33,85,4.92,overcast clouds
30,Banda Aceh,ID,5.5577,95.3222,80.76,80,100,1.74,overcast clouds
31,El Vigia,VE,8.6219,-71.6506,90.34,58,85,4.99,overcast clouds
32,Vao,NC,-22.6667,167.4833,76.37,71,0,7.81,clear sky
33,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,10.36,clear sky
34,Khatanga,RU,71.9667,102.5,19.4,96,100,6.53,light snow
35,Owo,NG,7.1962,5.5868,83.21,62,43,7.11,scattered clouds
36,Wakkanai,JP,45.4094,141.6739,42.87,80,66,21.74,broken clouds
37,Kavieng,PG,-2.5744,150.7967,81.37,78,56,9.28,broken clouds
38,Fairbanks,US,64.8378,-147.7164,30.16,42,0,8.05,clear sky
39,Phonhong,LA,18.5007,102.4166,77.18,79,9,0.96,light rain
40,Arlit,NE,18.7369,7.3853,82.65,10,100,10.69,overcast clouds
41,Ketchikan,US,55.3422,-131.6461,46.87,31,0,6.91,clear sky
42,Daru,PG,-9.0763,143.2092,79.11,86,59,6.96,broken clouds
43,Yellowknife,CA,62.456,-114.3525,10.92,56,20,10.36,few clouds
44,Hithadhoo,MV,-0.6,73.0833,83.21,67,100,5.28,overcast clouds
45,Atuona,PF,-9.8,-139.0333,79.2,77,50,18.19,light rain
46,San Cristobal,VE,7.7669,-72.225,80.78,50,100,7.85,overcast clouds
47,Huilong,CN,31.8111,121.655,49.93,64,13,3.74,few clouds
48,Masterton,NZ,-40.9597,175.6575,53.89,95,35,1.52,scattered clouds
49,Makakilo City,US,21.3469,-158.0858,75.52,80,75,12.66,light rain
50,Carnarvon,AU,-24.8667,113.6333,75.27,78,40,10.36,scattered clouds
51,Cooma,AU,-36.2333,149.1333,42.57,93,40,10.36,scattered clouds
52,Busselton,AU,-33.65,115.3333,56.48,83,35,10.67,scattered clouds
53,Qaanaaq,GL,77.484,-69.3632,-8.36,75,86,5.39,overcast clouds
54,Havre,FR,49.5833,0.3333,59.4,67,100,9.22,overcast clouds
55,Kodiak,US,57.79,-152.4072,38.71,87,100,23.02,light rain
56,Deputatskiy,RU,69.3,139.9,0.12,98,99,1.59,overcast clouds
57,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,52,13.09,broken clouds
58,Rikitea,PF,-23.1203,-134.9692,77.99,71,3,15.3,clear sky
59,Te Anau,NZ,-45.4167,167.7167,38.93,94,89,1.72,overcast clouds
60,Talnakh,RU,69.4865,88.3972,17.19,93,100,6.22,overcast clouds
61,Udachnyy,RU,66.4167,112.4,25.45,85,100,8.7,overcast clouds
62,Caravelas,BR,-17.7125,-39.2481,77.63,70,100,11.32,overcast clouds
63,Leningradskiy,RU,69.3833,178.4167,0.75,97,66,6.73,broken clouds
