City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,55.04,52,0,5.75,US,2022-04-06 01:27:34
1,Port Macquarie,-31.4333,152.9167,74.35,66,1,4.45,AU,2022-04-06 01:24:52
2,Jagalur,14.5333,76.35,73.31,78,21,7.09,IN,2022-04-06 01:27:35
3,Bud,39.447,-86.1758,55.81,95,100,7.45,US,2022-04-06 01:27:35
4,Vaini,-21.2,-175.2,80.76,89,40,4.61,TO,2022-04-06 01:27:35
5,Port Alfred,-33.5906,26.891,58.17,86,6,1.01,ZA,2022-04-06 01:27:36
6,Ushuaia,-54.8,-68.3,37.06,87,40,27.63,AR,2022-04-06 01:27:36
7,Rikitea,-23.1203,-134.9692,79.18,66,87,16.69,PF,2022-04-06 01:24:29
8,Ferkessedougou,9.6,-5.2,82.58,52,76,3.18,CI,2022-04-06 01:27:36
9,Aksarka,66.5606,67.7975,21.52,92,100,25.99,RU,2022-04-06 01:27:37
10,Nikolskoye,59.7035,30.7861,26.8,78,100,12.17,RU,2022-04-06 01:24:34
11,Tricase,39.9304,18.3553,40.35,70,100,9.4,IT,2022-04-06 01:27:37
12,Parksville,49.3163,-124.3195,51.73,52,42,5.75,CA,2022-04-06 01:27:37
13,Albany,42.6001,-73.9662,51.76,59,100,5.55,US,2022-04-06 01:22:34
14,Port Lincoln,-34.7333,135.8667,64.9,68,38,18.12,AU,2022-04-06 01:23:13
15,Shostka,51.863,33.4698,35.4,93,100,11.5,UA,2022-04-06 01:24:50
16,Maniitsoq,65.4167,-52.9,26.55,92,96,3.24,GL,2022-04-06 01:27:38
17,Puerto Ayora,-0.7393,-90.3518,78.06,86,25,7.09,EC,2022-04-06 01:27:38
18,Pilar,-9.5972,-35.9567,75.13,89,100,1.9,BR,2022-04-06 01:23:12
19,Flinders,-34.5833,150.8552,63.37,92,100,8.03,AU,2022-04-06 01:27:38
20,Avarua,-21.2078,-159.775,84.25,79,100,10.36,CK,2022-04-06 01:27:39
21,Bredasdorp,-34.5322,20.0403,58.37,74,21,13.18,ZA,2022-04-06 01:27:39
22,Pevek,69.7008,170.3133,-5.19,93,100,5.19,RU,2022-04-06 01:24:35
23,Mataura,-46.1927,168.8643,50.31,78,99,12.73,NZ,2022-04-06 01:24:54
24,Grindavik,63.8424,-22.4338,28.87,74,75,27.63,IS,2022-04-06 01:27:39
25,Tuktoyaktuk,69.4541,-133.0374,-5.8,71,20,9.22,CA,2022-04-06 01:24:53
26,Inhambane,-23.865,35.3833,75.6,85,1,7.76,MZ,2022-04-06 01:27:40
27,Tiksi,71.6872,128.8694,-10.43,100,100,3.4,RU,2022-04-06 01:27:40
28,Atuona,-9.8,-139.0333,79.48,72,0,21.72,PF,2022-04-06 01:27:40
29,Isangel,-19.55,169.2667,82.78,79,100,11.63,VU,2022-04-06 01:24:59
30,Taoudenni,22.6783,-3.9836,81.45,22,0,13.89,ML,2022-04-06 01:27:41
31,Kodiak,57.79,-152.4072,36.91,75,100,10.36,US,2022-04-06 01:27:41
32,Hithadhoo,-0.6,73.0833,82.26,69,16,4.23,MV,2022-04-06 01:27:41
33,Chokurdakh,70.6333,147.9167,-5.19,92,14,6.22,RU,2022-04-06 01:27:41
34,Port Blair,11.6667,92.75,78.84,89,40,2.3,IN,2022-04-06 01:27:42
35,Corbu,44.3833,28.65,38.52,93,0,9.22,RO,2022-04-06 01:27:42
36,Carnarvon,-24.8667,113.6333,82.47,54,0,10.36,AU,2022-04-06 01:27:42
37,Port Moresby,-9.4431,147.1797,85.42,74,40,11.5,PG,2022-04-06 01:27:43
38,Tasiilaq,65.6145,-37.6368,15.96,90,47,7.09,GL,2022-04-06 01:27:43
39,San Bartolome De Tirajana,27.9248,-15.5733,50.47,62,40,8.05,ES,2022-04-06 01:27:43
40,Tadine,-21.55,167.8833,75.51,91,100,10.67,NC,2022-04-06 01:27:43
41,Agirish,61.9247,63.0231,15.01,90,68,10.45,RU,2022-04-06 01:27:44
42,Yellowknife,62.456,-114.3525,31.41,69,75,9.22,CA,2022-04-06 01:27:44
43,Tieling,42.2931,123.8414,38.95,16,34,5.39,CN,2022-04-06 01:27:44
44,Terrace,54.5163,-128.6035,42.71,56,75,8.05,CA,2022-04-06 01:26:32
45,Srednekolymsk,67.45,153.6833,-1.39,87,85,6.08,RU,2022-04-06 01:27:45
46,Paita,-5.0892,-81.1144,73.11,76,2,17.31,PE,2022-04-06 01:27:45
47,Busselton,-33.65,115.3333,62.98,61,98,8.99,AU,2022-04-06 01:23:09
48,Ribeira Grande,38.5167,-28.7,60.71,88,46,14.0,PT,2022-04-06 01:24:53
49,Butaritari,3.0707,172.7902,81.32,80,100,17.43,KI,2022-04-06 01:27:45
50,Palmares Do Sul,-30.2578,-50.5097,63.66,80,0,5.82,BR,2022-04-06 01:28:46
51,Dingle,10.9995,122.6711,82.89,74,100,12.41,PH,2022-04-06 01:28:46
52,Martapura,-3.4167,114.85,82.49,78,0,3.44,ID,2022-04-06 01:28:46
53,Svetlaya,46.5389,138.3297,35.13,48,4,16.46,RU,2022-04-06 01:28:46
54,Lagoa,39.05,-27.9833,59.68,86,34,15.61,PT,2022-04-06 01:24:49
55,Vostok,46.4856,135.8833,26.08,69,97,16.82,RU,2022-04-06 01:28:47
56,Faanui,-16.4833,-151.75,82.92,76,6,19.73,PF,2022-04-06 01:28:47
57,Saint-Jean-Port-Joli,47.2171,-70.2658,35.2,94,97,0.2,CA,2022-04-06 01:28:48
58,Kangaatsiaq,68.3065,-53.4641,24.94,95,100,4.43,GL,2022-04-06 01:28:48
59,Haukipudas,65.1765,25.3523,33.85,93,100,14.27,FI,2022-04-06 01:28:48
60,Bathsheba,13.2167,-59.5167,77.61,69,0,13.8,BB,2022-04-06 01:28:48
61,Svetlyy,54.675,20.1347,34.97,81,100,16.15,RU,2022-04-06 01:28:49
